package_id,Result_field
604,Ash
605,Ash
650,Ash
333,"Aspartic Acid"
334,"Aspartic Acid"
421,"Aspartic Acid"
558,Aspergillius
33,Boron
158,Boron
216,Boron
570,Boron
181,Butyric
288,Butyric
419,Butyric
448,Butyric
449,Butyric
453,Butyric
455,Butyric
38,Ca
61,Ca
155,Ca
156,Ca
157,Ca
158,Ca
159,Ca
181,Ca
184,Ca
216,Ca
217,Ca
307,Ca
342,Ca
346,Ca
351,Ca
352,Ca
360,Ca
371,Ca
386,Ca
387,Ca
389,Ca
393,Ca
401,Ca
413,Ca
421,Ca
447,Ca
448,Ca
449,Ca
451,Ca
452,Ca
453,Ca
458,Ca
460,Ca
593,Ca
599,Ca
600,Ca
601,Ca
602,Ca
603,Ca
629,Ca
633,Ca
635,Ca
636,Ca
650,Ca
439,"Calibrate FPN"
440,"Calibrate FPN"
41,"Calibrate GPN"
439,"Calibrate GPN"
440,"Calibrate GPN"
40,"Calibrate NDF"
439,"Calibrate NDF"
440,"Calibrate NDF"
439,"Calibrate Starch"
440,"Calibrate Starch"
184,"Crude Fiber"
413,"Crude Fiber"
414,"Crude Fiber"
421,"Crude Fiber"
425,"Crude Fiber"
447,"Crude Fiber"
448,"Crude Fiber"
449,"Crude Fiber"
451,"Crude Fiber"
452,"Crude Fiber"
453,"Crude Fiber"
458,"Crude Fiber"
650,"Crude Fiber"
550,Citrinin
551,Citrinin
560,Citrinin
561,Citrinin
617,Citrinin
618,Citrinin
624,Citrinin
637,Citrinin
643,Citrinin
644,Citrinin
645,Citrinin
646,Citrinin
61,Cl
157,Cl
159,Cl
181,Cl
184,Cl
216,Cl
307,Cl
343,Cl
386,Cl
393,Cl
408,Cl
421,Cl
447,Cl
448,Cl
449,Cl
451,Cl
452,Cl
453,Cl
458,Cl
591,Cl
599,Cl
600,Cl
601,Cl
602,Cl
635,Cl
636,Cl
650,Cl
558,Cladosporium
59,CP
65,CP
157,CP
180,CP
181,CP
184,CP
214,CP
231,CP
232,CP
288,CP
307,CP
333,CP
334,CP
335,CP
336,CP
340,CP
341,CP
345,CP
346,CP
351,CP
352,CP
354,CP
355,CP
360,CP
361,CP
386,CP
387,CP
388,CP
389,CP
390,CP
391,CP
392,CP
393,CP
397,CP
401,CP
405,CP
413,CP
414,CP
418,CP
419,CP
421,CP
424,CP
426,CP
431,CP
432,CP
433,CP
434,CP
444,CP
447,CP
448,CP
449,CP
451,CP
452,CP
453,CP
454,CP
458,CP
604,CP
605,CP
633,CP
650,CP
427,CSPS
442,CSPS
157,Cu
158,Cu
216,Cu
344,Cu
461,Cu
599,Cu
600,Cu
601,Cu
602,Cu
603,Cu
633,Cu
333,Cysteine
334,Cysteine
421,Cysteine
560,DAS
623,DAS
18,"DM Yield/Acre"
20,"DM Yield/Acre"
21,"DM Yield/Acre"
23,"DM Yield/Acre"
24,"DM Yield/Acre"
38,"DM Yield/Acre"
40,"DM Yield/Acre"
41,"DM Yield/Acre"
46,"DM Yield/Acre"
49,"DM Yield/Acre"
59,"DM Yield/Acre"
61,"DM Yield/Acre"
65,"DM Yield/Acre"
70,"DM Yield/Acre"
75,"DM Yield/Acre"
102,"DM Yield/Acre"
147,"DM Yield/Acre"
149,"DM Yield/Acre"
155,"DM Yield/Acre"
156,"DM Yield/Acre"
157,"DM Yield/Acre"
158,"DM Yield/Acre"
159,"DM Yield/Acre"
163,"DM Yield/Acre"
180,"DM Yield/Acre"
181,"DM Yield/Acre"
184,"DM Yield/Acre"
187,"DM Yield/Acre"
190,"DM Yield/Acre"
191,"DM Yield/Acre"
192,"DM Yield/Acre"
193,"DM Yield/Acre"
194,"DM Yield/Acre"
195,"DM Yield/Acre"
196,"DM Yield/Acre"
212,"DM Yield/Acre"
214,"DM Yield/Acre"
215,"DM Yield/Acre"
216,"DM Yield/Acre"
217,"DM Yield/Acre"
231,"DM Yield/Acre"
232,"DM Yield/Acre"
248,"DM Yield/Acre"
258,"DM Yield/Acre"
272,"DM Yield/Acre"
274,"DM Yield/Acre"
275,"DM Yield/Acre"
279,"DM Yield/Acre"
280,"DM Yield/Acre"
282,"DM Yield/Acre"
288,"DM Yield/Acre"
307,"DM Yield/Acre"
338,"DM Yield/Acre"
339,"DM Yield/Acre"
340,"DM Yield/Acre"
341,"DM Yield/Acre"
342,"DM Yield/Acre"
343,"DM Yield/Acre"
344,"DM Yield/Acre"
345,"DM Yield/Acre"
346,"DM Yield/Acre"
348,"DM Yield/Acre"
350,"DM Yield/Acre"
351,"DM Yield/Acre"
352,"DM Yield/Acre"
354,"DM Yield/Acre"
355,"DM Yield/Acre"
358,"DM Yield/Acre"
359,"DM Yield/Acre"
360,"DM Yield/Acre"
361,"DM Yield/Acre"
364,"DM Yield/Acre"
365,"DM Yield/Acre"
